beer_id,brewery_id,beer_name,beer_type,abv,seasonality
521,37,Irish Dry Stout,Stout,4.2,Winter
522,37,English Dark Mild,Ale,4.2,Year-Round
523,37,Kolsch,Kolsch,4.5,Year-Round
524,37,Pilsner,Pilsner,5.4,Year-Round
525,37,Dark As Funk,Saison,10,Year-Round
526,37,Eastern MO IPA,IPA,5.5,Year-Round
527,37,IPA,IPA,6.7,Summer
528,37,Dry Stout,Stout,4.2,Year-Round
529,37,Red Rye IPA,Rye IPA,5.9,Year-Round
530,38,Wasabwitu?,Wheat Ale,5.5,Year-Round
531,38,Bignose IPA,IPA,7,Year-Round
532,38,Friendzy IPA,IPA,6.6,Year-Round
533,38,Andrew's Ale,Ale,6,Year-Round
534,38,Belgian Golden,Amber Ale,5,Year-Round
535,38,Celtic Blood,Rye Ale,5,Year-Round
536,38,Rasmanian Devil,Red Ale,5.5,Year-Round
537,38,Wentzille Downtown Brown,Brown Ale,6.5,Year-Round
538,38,Red 98,Red Ale,5.5,Year-Round
539,38,Ryenot,Rye Ale,6,Year-Round
540,38,Laplander DIPA,IPA,9,Year-Round
541,38,Cathy's Cure,Ale,6,Year-Round
542,39,American Lager,Lager,4.3,Year-Round
543,39,American Wheat Ale,Wheat Ale,4.6,Year-Round
544,40,Off Duty ,Lager,4.2,Year-Round
545,40,Blonde Juele,Blonde Ale,4.5,Year-Round
546,40,Pecan Brown Ale,Brown Ale,5.5,Year-Round
547,40,Salted Caramel Pecan Ale,Brown Ale,5.5,Year-Round
548,40,Cold-Fro-T-5,Ale,6,Year-Round
549,40,Common Ride,Ale,5.2,Year-Round
550,40,The Answer,Amber Ale,4.8,Year-Round
551,40,2 Hop,IPA,6.7,Year-Round
552,40,Zombie Lager 1031,Lager,5.5,Year-Round
553,40,Dunkelweizen,Wheat Ale,5.3,Year-Round
554,40,Oktoberfest,Pale Lager,5.5,Fall
555,40,420/4,Pale Ale,5.5,Year-Round
556,40,Vanilla Bean Coffee Juele,Blonde Ale,4.5,Year-Round
557,40,Peach Juele,Blonde Ale,4.5,Year-Round
558,40,Blueberry Juele,Blonde Ale,4.5,Year-Round
559,40,Strawberry Juele,Blonde Ale,4.5,Year-Round
560,7,Dark Mild w/ Coconut,Dark Ale,4.1,Spring
561,7,Open Source Brown,Ale,5.3,Spring
562,7,Peat Anise Porter,Porter,5,Spring
563,41,Original,Lager,5.1,Year-Round
564,41,Hefe Weizen,Hefeweizen,5.1,Year-Round
565,41,Dunkel,Dark Lager,5.5,Year-Round
566,41,Light,Pale Lager,4.8,Summer
567,41,Marzen,Lager,5,Fall
568,41,Maibock,Lager,7.2,Winter
569,42,English Mild Ale,Ale,3.2,Year-Round
570,42,Lammastie English Wheat Ale,Wheat Ale,4.1,Year-Round
571,42,High Desert Pale Ale,Pale Ale,5.5,Year-Round
572,42,Raspberry Ale,Ale,5.3,Year-Round
573,42,Northern English Brown Ale,Brown Ale,4.2,Year-Round
574,42,“Across the Pond” Hybrid IPA,IPA,6.6,Year-Round
575,42,Tower Hill Burton-style ESB,Ale,5.1,Year-Round
576,42,Cascadia Amber Ale,Amber Ale,5.4,Year-Round
577,42,Moorgate London-Style Porter ,Porter,5.1,Year-Round
578,43,Clyde's Ale,Ale,4,Year-Round
579,43,Green Chile Ale,Ale,4,Year-Round
580,43,Red Rye,Rye Ale,5,Year-Round
581,43,Ale of 1000 Suns,Ale,4.5,Year-Round
582,43,Belgian Wit,Wheat Ale,5,Year-Round
583,43,Missouri Brunch Stout,Stout,7.5,Year-Round
584,43,Samoa Stout,Stout,7.5,Year-Round
585,43,Straw-Barry Ale,Ale,5.2,Year-Round
586,43,Citra IPA,IPA,5.5,Year-Round
587,43,DWIPA,IPA,9.5,Year-Round
